qid,question
386,Who is the father of lord Krishna?
589,What Anna Hazare think about PM Modi?
1842,A baby lion raised domestic to the age of 4 ( human years) can survive if he would be released in the wild?
1842,Do cell phone signal repeaters work?
2779,Things to do in Hyderabad?
4806,How does Cantonese Chinese differ from Mandarin?
5125,Can someone enlighten me on national payment corporation of India's initiative on Unified Payment Interface?
7371,"I'm in my last year of dentistry, but I don't want to be a dentist. What should I do to work in some field of pharmacy?"
7427,Which software was used to create WhatsApp?
8538,How is San Diego traffic?
8998,What are some lesser known must-listen songs?
8998,What's the best way to tell a friend they have body odor issues?
9219,In which episode does Edward Elric get taller?
9687,Is career launcher's study materials good for CLAT?
9695,How do you pass time while waiting?
10308,What are the top virtual reality companies?
11274,What are the properties of quantum spin liquid?
14312,Can I change my delivery address after a FedEx package has been shipped?
15969,What is Stuart Scott's prognosis?
18365,What do you pay monthly subscriptions for and how much does it cost?
18927,Which Quora policy Vichitra Zawar violated leading to his account getting banned?
22251,What are the most significant differences between the customs of Jews in The Torah and Orthodox Jews nowadays?
24308,"Which is the best mobile, Windows or Android?"
24544,What is the best book or book series you ever read and why?
25502,Will you computers be able to have dreams or a subconscious mind in the future?
26808,"Why does the `new` operator in JavaScript take precedence over the member (dot or square bracket) operator, and where is that documented? "
26808,What are some cultural faux pas of asking cultural faux pas questions?
28488,What are some impressions of Week Three of the 2012-13 NFL Season?
29169,How did Airbnb make its initial traction?
30196,What is the best pattern for QWOP?
30477,"What is the nearest airport to Daytona Beach, and how do this cities tourist attractions compare to Billing's?"
32787,Bollywood best movie?
35039,Why do people ask questions on Quora instead of Googling it?
37204,How do I crack JP Morgon Round 2?
38711,What are the characteristics of great pizza?
38711,What are my chances to get into an economics PhD program?
41812,Does the TV show Gotham share the same universe with Arrow and The Flash?
42191,Is demonetisation helping Indian economy?
44586,What is the best university in Canada to study medicine?
44919,Why is my PayPal account limited?
46070,Which Indian states are well known in other countries?
46321,Can I recover a deleted snapchat account?
47201,When I try to access developer options on my Asus Zenpad (Android 6.0) I end up playing a retro-style video game instead. Why?
49175,What is the weirdest programming interview question you've been asked?
51672,What will happen to the fish/Tully related symbols in Riverrun?
52282,What are some ways to delete my Yahoo Mail account permanently?
53311,What's going on with MySpace and their platform initiatives?
53311,World of Warcraft (2004 video game): What is it like to play as Warrior in World of Warcraft?
53879,What are some nice 30 days challenge ideas?
57161,What are the best travel hacks to travel cheap around the world?
58230,Why does Lady Rainicorn from Adventure Time speak Korean?
58434,What does ja nai and dekinai mean in Japanese? How are they used?
58523,How do you remove a Gmail account from the app on iPhone?
59809,I forgot my Windows 10 admin password. How can I recover it?
60021,What are the recommended books/materials for the CAT exam preparation?
60244,What is the best software to run all games in a PC?
62298,Can I shift the position of elevator in upper floors?
62299,Is a 3.7821 GPA a 3.7 or does it get rounded to a 3.8?
62442,What does he mean by saying he won't text me anymore while he still says he loves and misses me? He wants me to find a better guy. Could it be true?
62442,What are some great Firefox add-ons?
65230,Why was Friends (the TV show) so successful?
67952,GATE Preparation: Which is the best online coaching for GATE ECE stream?
68076,"Is the electricity, gas and water market in Argentina owned by the government or particulars?"
69156,Why is arabic not offered in schools?
70470,What are the best classes to take at Swarthmore College?
72583,"Which college is better for an MBBS degree - KMC Manipal, or Bangalore Medical College?"
73680,How can we use a turbocharger for a 100cc bike?
73682,What's the best way to learn about linguistics?
74222,What is your favorite movie of all-time and why?
79212,Why do credit cards with a smart chip still have a magnetic strip on the back of them?
80367,What is it like to travel in Iran?
81660,How I can enhance my English language?
84057,Is it necessary to follow an organized religion?
84396,How often should I wear glasses? My prescription is -1.75 and -1.5
85712,Is it safe to apply aloe vera gel on the face overnight?
88605,"Saying that there's infinite energy in zero point energy and infinite virtual particles in vacuum energy, is this a real or just a mathematical thing?"
88738,How can my organization sign up for GSoC?
88850,What will Carrie Fisher's death mean for the next Star Wars movies?
89193,What are the official languages of India?
90402,What are best topics for a seminar?
92409,How do you argue your way out of a speeding ticket?
93561,How do you come to terms with the fact that you are a bad person?
95299,How well do Kendrick Lamar and Anna Kendrick know each other?
102169,Will dividing Nigeria into 3 different countries stop corruption?
102715,What does it feel like to kiss someone?
102782,What opera and classic music has been used in CS-go leagues?
103117,"How is the word ""help"" translated in Japanese?"
104203,What websites offer the best food and drinks deals?
108109,How will our economy will be affected by demonetizing Rs 500 and Rs 1000 notes?
108234,How do we know that distant galaxies aren't made of antimatter?
108561,What according to you is the worst moment of Rio Olympics 2016?
115992,What is the best trading platform for beginners?
116478,Why is Hilary Clinton called a criminal?
116610,What's the need for religion?
121838,How is the work of modi?
125092,How do I learn Japanese online and take notes?
131054,How about the market prospective of recycling waste copper wire?
131831,"What is it like to work in finance and accounting your entire life, starting in your 30s?"
132057,How would you live life if you were immortal?
132854,How can I add a recovery phone number to my Gmail account without password to my account?
135299,How do I create the profile picture like Kevin Mccauley?
135448,What is the best badminton tutorial for a beginner on YouTube?
135733,Why does Ezekiel bread have to be refrigerated?
137250,Did anyone from India get a job through Udacity Nanodegrees?
137396,How likely is it that France leaves the EU?
138392,Will I have a great career if I go for B.Tech in mechanical engineering in a state level college in India?
140025,Why is YouTube not working on Internet Explorer? How can you fix this?
140775,What went wrong with Cyrus Mistry as Tata Group chairman and why was he ousted?
141026,What happens if we don't eat or drink for 1 week?
142179,What would the world be like if Nazi Germany had never lost the war?
142849,"To apply for an H1B, do we need to have transcripts for our degree and PG?"
143907,Why is it so hard to study?
144842,What is the role of a Business Analyst at google?
144867,Can I improve my credit score?
146117,What are the 2 best audiobooks on Community?
146680,What are some of the best sales conversations?
147485,I am in first year. In which direction should I start my preparation to clear for IAS exam?
147485,What are the best excuses?
147534,"What is the literal translation of ""bhaav khaana"" in English?"
147565,How can I increase the traffic on a site?
148432,I have learnt nothing during my CA articleship period what do I do?
149397,What is it like for a biology student (no maths background) to study in iiser?
150054,What exactly is hacking?
152672,What are the best ways to get rid of poverty?
153325,What do you think is the purpose of our existence?
153387,Is thinking the particle doesn't always travel through a single slit in a double slit experiment the biggest incorrect notion in physics?
153477,Which are the best brain twisting psychological thriller movies ever made?
153769,How do you control ITER TCWS heat exchangers?
160047,What are the best apps for helping young children learn to sight-read music?
161775,Is it okay if I see my fiance taking picture with his friend standing close to her?
162675,What are some interesting jobs?
163542,Do you find that American cigarettes smell worse and leave an oily film? (As compared to Mexican or European cigarettes)?
163613,What is a theoretical percentage?
164054,How will Trump's immigration policy influence H1-B workers?
166239,"How can we find professors, PhD & masters students from universities of Ukraine who would like to share their knowledge for free to record MOOCs?"
166395,Should Quora limit the number of characters for questions and answers?
166395,Can we time travel anyhow?
168326,How can I write a essay?
168838,How do I write a letter to the headmaster requesting him to issue T.C. and marks card with reasons?
170291,"What is Part I Company, as per Indian Companies Act, 2013?"
172045,What is the minimum gre score to get an admission into california state university fullerton?
172720,How does Omegle video chat for Android work?
173399,Is it true we have no written records of Anglo Saxon England?
173558,Which country will be better for masters in mechanical engineering?
173558,What are the biggest problems facing China?
175105,"Medical Advice: Is there an alternative to Abilify, Latuda, and Seroquel XR without the akathisia, weight gain, & heat sensitivity?"
177301,Should I buy a used car in finance or cash?
177560,What if the Russo-Japanese War never happened?
178300,Are there any logical reasons to support Donald Trump?
178739,Does it make sense to apologize for something when I'm not sure of what I did wrong?
179307,What are the good tv series to watch?
179484,How are skateboards made?
180347,What is physical fitness?
180733,What is the best way to read a textbook efficiently?
182236,Star Wars: The Force Awakens (2015 movie): [Spoilers] Who are Rey's parents? Is she Luke's daughter?
182551,How will be my married life?
183139,Does the state of California keep old vehicle titles (pink slips) when they're surrendered?
183367,What is real thing between israel and palestine?
186125,"Is America today ""the land of the free""?"
186133,Why do some adults like to bully others?
187289,How can you retrieve a forgotten Spotify username?
187568,Which is the best laptop for computer engineering in college?
187581,How many types of skin complexion are found in India?
187994,What is it like to meet Indian Prime Minister Narendra Modi?
188063,What is book keeping?
189929,What is a good configuration for home use computer?
190482,Whysulphuric acid is called as king of chemical?
192406,Who is the richest person on Quora?
192961,Who are you voting for in the upcoming presidential election and why?
195236,What is the best platform for online cosmetology continuing education?
195240,Why has North Korea just declared war?
195509,Why is a shorter wavelength of light needed to observe small particles or organisms that are not visible to the naked eye?
196221,What dog food brand is best for yorkie puppies?
197614,Most of the spouses of army officers end up as teachers. Is a different career for example starting my own business possible? Any stories to share?
197703,Can I see my video viewers on Instagram?
199240,What is the most effective online dating site?
201604,What are some of the good sites to learn javascript?
201629,How do I reset my microsoft account password?
203417,How can I adopt a child in Bangalore?
204232,What is the purpose of your existence in the society? What you want to see for yourself in next 15 years and what you are trying to achieve that?
204462,Which one is the most embarrassing moment of your lift?
206957,How did you learn Photoshop?
207392,How good is Lionel Messi?
208028,What are some psychological facts related to confidence?
208326,How do I change the font size in my laptop?
209125,What is failure rate for real estate agents?
212439,What are mistakes in your life that you wouldn't want others ever making?
214359,What are the most interesting products and innovations that Amazon is coming out with in 2016?
215770,Till what age you can learn skating?
215839,Could it be Life is just a brilliant illusion created by our minds?
216397,Who is the most underrated Manchester United player in their current squad?
216421,Why doesn't Apple make OS X available for manufacturers?
216421,What are the best tech companies in Australia?
216655,What exactly is the Car wash scandal involving Petrobras? What is its current status?
219468,"What does ""dying from exposure"" mean?"
220532,"Where are the best places to eat in Venice, Italy?"
220532,Is there any possible place or way to polish a rough diamond without a KP certificate? On my own just for an example what would I need? To polish?
221390,What is your review of Audi A4?
221479,What are some unknown features about the EyeEm photo app?
222063,"How do you act when you find out someone has schizophrenia and is in denial of their state, but their partner (soon to be husband) doesn't know it?"
222722,"What shirt, belt and bowtie looks better for a wedding?"
223206,Does money plant grow better in water or in soil?
223230,Does Indians and Americans work in the same office ?(Please read details)
223605,What's the most comfortable underwear for men?
223640,Can begging be dropped?
223710,How do I lose 3kg weight in one week?
224058,What are 5 natural resources used for civilization?
224212,What has the AAP done for Kashmiri Pandits?
224252,How's college life in PICT?
224352,Is eating apple seeds bad for you?
224661,What is the difference between 128 kbps and 320 kbps MP3 files?
225087,What can I do to improve my English Grammar?
225135,What does さあひる mean?
225518,What are the most anticipated movies of 2017?
226208,Why do many X-men characters have blue skin instead of other colors?
227234,What is the best way to pick lottery numbers?
227494,What are some of the important essay and letter topics that may probably come for 10th grade English language ICSE emaxination held on 29th of Feb?
228281,Why is crude oil going up today 1-11-17 after a large EIA build report?
228713,"Apart from considerable pay packets, what motivates people to learn and master programming? How does computer programming make the world beautiful?"
229263,Who are some lesser known important historical figures of India and what should people know about them?
229440,How do I advertise my products with low cost?
229675,How do I play a high note on a trombone.?
229729,Do Quora questions marked as needing improvement still reach the entire Quora user community?
229757,Can a 14 year old choose to live her dad full time without the parents having to pay court fees or spending $$? (Currently both have equal custody)?
229757,What is it that babies find so funny about ripping paper?
229786,Why is today's society messed up? Who is to blame?
229908,How can I solve for x if I have 2^x = 8?
230479,Should I believe in science or religion?
231333,What is the spin quantum number?
232311,Where can I homework help for my intro to statiscs course?
232329,What is it about Game of thrones that has made it so popular amongst the populace?
232334,Why are front end developers so high in demand at startups if front end development is relatively easier than other fields of engineering?
232615,What are the effects of 6th house lord mars in 12th house of venus?
232742,Getting electronics job in USA?
232853,How do aircrafts fly?
233433,Why are so many Quora users posting questions that are readily answered on Google?
233931,How can I use my Skype number as my caller ID in specific calls?
233931,Why do you want to be an entrepreneur? Or why did you become an entrepreneur?
233966,How should I stop masturbating?
234207,How do I stop my dog from throwing up and shaking?
234259,What is the average salary for salesforce developer in India with 2 yr of experience?
234550,Which is the best movie from 2016?
235394,How can I hack my friends phone?
235470,After Effects 2017 has no audio playback?
235536,Where is Pablo Escobar?
236042,What happens when brain cells die?
236064,What is mass communication? What are some of its functions?
236260,"Where can I watch or download ""Maneating Leopard of Rudraprayag"" (2005)?"
236319,What are the safety precautions on handling shotguns proposed by the NRA in the entire U.S. including it’s territories and possessions? 2
236514,Which American restaurant chains can be found in Norway? What do Norwegian people think of them? A
236752,What do blind people see?
236752,How do people earn money from YouTube?
236884,Which historical Miami locations strike a chord most deeply with residents?
236923,What is can antenna?
237177,A 4 cm cube is cut into 1 cm cubes. Calculate the total surface area of all the small cubes?
237713,Does density and gravity have any relation?
237888,How can I make my penis big and long?
238203,What are the ways a dumb person can earn money online?
238712,How can I earn money through YouTube?
238785,"If you could get everybody on earth to agree on one thing, what would it be?"
238788,What are some tips when making your own drone?
238842,"Can I upgrade anything about my Early 2015 Macbook Pro 13""?"
238883,Should I take a mass gainer or whey protein?
238982,What is the reaction between sodium hydroxide and water?
238983,What are the reactions of sodium carbonate with water?
239671,"East coast vs West coast: is there a major difference in culture, lifestyle and demography?"
239954,Topics for counter terrorism?
239990,How can I become a military contractor?
240434,Which book should I buy to prepare for KCET?
242215,Which is the most corrupt political party of Brazil?
242346,How can I lose 30 pounds in 30 days with a workout plan?
242479,Is Quora a project of Illuminati?
242872,What artists/albums sound like the song Heavy Soup by the UK band Cornershop?
243651,I ghz quad core processor or 1.2 ghz quad core which is better?
244585,I scored 73.05 percentile on my CAT (2016) and a Chartered accountant by profession. Currently working. What are my options for MBA colleges in India?
244958,"If you had a billion dollars, what would you do first?"
245100,What would you advice to a 24yr old young man that has been very unfortunate and not really achieved much in life to give him that extra edge in life or something valuable?
245123,How do you boil frozen crab leg?
245264,How can I make $10000 in a month?
245540,What were the central arguments/theories posited by Hegel?
246360,"Is there a word for a spoken sentence that cannot be written. Eg there are three ways to spell the word to. (To, two, too)?"
247306,What is the best laptop I could buy under 20k?
248097,What do you think about banning 500 and 1000 rupee notes in India?
248132,Why do you vote for Trump?
248692,Should copyrighted material expire after the copyright creator's death?
248913,What is the way to reduce the fat on belly?
249619,Which is your recommended development firms who helps to build mvp for startups?
250836,How do you get to the entrance for Resolution Cave in Pokemon Sun and Moon?
251361,How can I apply for domicile certificate in Delhi?
251892,Who was the present Governor of India?
253020,What is the effect of selling cost on 5 consumers' demands?
253645,What are the major differences between Chinese and Western cultures?
259282,How can you improve your communication skills?
259581,"Aggressive investing in MF. Do not know basics of MF like purchasing, selling, closing funds. I know concept and returns of MF?"
260572,Are the notes of Rs. 2000 really embedded with a GPS chip?
261667,How do I tell my spouse I'm agnostic?
262237,Relationships: Why do I yearn for human touch and affection?
262488,How can I improve sexual stamina?
264561,What do you think of PM's decision on the banning of 500 and 100 rupee notes?
266514,What are the possible ethical implications of aging reversal (assuming it will ever become possible)?
266936,"What is the good starting point to develop single page web apps? What are the best resources available? also, suggest Libraries and frameworks."
267130,I'm 16 years old and I'm not interested in social media. Is it unusual for me to think this way at my age?
267706,Can I get back my best friend?
267816,How much did Michael Jackson have in assets when he died?
268723,What is the best digital marketing course online for a beginner?
274592,How can I learn communication skills?
275337,How shall I prepare for CA final Nov 16 exams
276011,Will India ever become a superpower?
276108,What is the right age to retire?
277203,What is the difference between a vector and a hash table?
277949,When is a root canal treatment necessary?
278002,Will Obama be seen as a worse or better president than Bill Clinton?
279054,What if the superheroes were never forced to retire in The Incredibles? How would this affect the main cast?
280163,What is Michael Spivak like in person?
283577,What are some other interesting stories in the Japanese history like the 47 Ronin?
285412,How would you make eating something really philosophical?
285582,Which is the best programming language?
285670,How GST is important to common man or taxpayer in India?
285687,Why did the Indian government introduce the new 2000 rupee (INR) note?
285833,How long should I take to learn the Italian language from A to Z?
287530,How can I enhance my English writing skills?
288304,How do I control my emotions and anger?
289868,"What is the difference between ""A True Story"", ""Based On A True Story"" and ""Inspired By A True Story"" in movies?"
290676,Does the West still have what it takes if it had to fight another world war?
294335,How can I archive multiple emails in my Gmail account?
294785,Why do the Dubai Police have super cars?
296253,Why isn't our prime minister taking any action against Pakistan?
296487,Which is best time for exercise?
297488,What is babajob.com business model?
297823,What will happen if I delete WhatsApp sent images?
300585,What are the colors used in a masquerade? What do they represent?
300608,What effect will the FBI announcement have on the Election?
301916,Top 2 advantage of EMI Card?
303234,What is the corporate culture like at Kilroy Realty? How is the culture different than other companies?
303765,How do I A2A a Quora user?
304090,My son has been programming without my knowing for 4 years now. I just found out today. What should I do to make sure he pursues it?
305620,Has anyone personally involved or experienced or have seen ufos or Etraterrestrials?
305752,How do I gain the confidence for YouTube?
306448,What are the attributes of octopuses that belongs to the callistoctopus-macropusoctopus family?
307320,What is the best Halloween movie ever?
307320,Which is the best coaching for IAS in up?
307763,Why is reservation in India is based on caste class and tribe and not on poverty?
308285,What are the best puns?
308371,What is the best 2 line Shayari?
312476,"How much money can I make from a YouTube video with 5,000 views?"
314564,How do I build traffic to my website?
315682,Will HTC desire 828 dual sim get marshmallow update?
315791,Can I delete my questions once answered?
317863,In reciprocating pump there is work of pressure or not?
318499,What can I do after having diploma in mechanical engineering?
319259,What is VRShared.com?
320409,"What will be the impact of election of Donald Trump as the 45th US president, on India?"
321554,How can one attend the 7th national marketing conclave of KIIT school of management ?
322110,Why was Japan never invaded by China or Korea?
322634,If I delete my whisper account can the other person still see my messages?
322738,Can I earn money online?
323521,What Are Good Accessories For Cars? Where Do They Sell Car Accessories?
324468,If I reveal my secret (inspired by the movie the secret) to the world will its impact of happening reduce?
325328,How do I improve brain power?
325518,What is the likelihood of the electoral college voting in Clinton even if she loses the popular vote?
326791,How can an average student increase his concept for the JEE?
327422,"What's the coolest, weirdest, most valuable thing you've ever found in a thrift store?"
328196,Why are all unidentified dead bodies called Ashok Kumar in India?
328903,What are fundamental duties of Constitution Of India?
329183,Is it safe to charge iPhone 6 for a whole night?
330385,I am working as a accountant in private limited company so can I eligible for IPCC direct entry exam?
331437,What are the best web development companies in Noida?
331814,How can I prepare for CAT 2017?
331931,Why do so many people on Quora ask stupid questions they could find answers to if they spent less than 5 minutes on a search engines?
332107,How is Bulleit bourbon pronounced?
333977,How obese is Donald Trump?
334211,How legitimate is the ISIS school video?
338940,How has World of Warcraft made an impact on your life?
339079,What's the best sound to fall asleep to?
339210,What is social relevance?
347519,Can World War 3 ever take place?
352705,What is Peter Thiel's daily routine like?
352948,What are some projects for mechanical students?
353372,Do you find being demiromantic to be frustrating?
357030,"How do I get a strange girl's phone number, politely, in a library for a good time?"
357928,For a very first beginner what are ways to start with competitive programming?
358096,What is the compatibility of a Leo Moon/Leo Sun man with an Aries Moon/Cancer Sun woman?
359623,What exactly has Mother Teresa done for the Indian people?
360094,What is the best book to practice yoga?
360170,"Why does vaginal sexual intercourse feel different with different women? Are all vaginas the same or, if not, what causes the penis to feel different?"
361324,How can I file complaint against Police in India?
363208,"How do I gain access to a person's instagram photos, if their account is private?"
365961,How can I improve at chess?
370041,How should I lose weight as a 16 year old?
370985,What are some examples of romantic Korean dramas that are popular in the West?
373155,Which is the best Indian patriotic song?
373924,What's the difference between high-speed diesel and normal diesel?
374383,Where can I find free boxes for shipping textbooks?
374876,How do I become a physical therapist?
375434,What is Bulletproof Coffee good for?
380017,How long does it take to fix an overbite?
380049,"If scientists invent a mechanism for humans to communicate in the language of animals, birds, plants & vice versa, then how would life be different?"
382750,How can I prepare for NEET 2017 in 4 months?
384964,What is it like to be a sociology professor?
388461,Has anyone found a way to make money using Quora?
388862,Is it possible to lose 25 pound in 1 month?
391925,What are the best instructions about fin heat transfer?
392403,What are the Yojana in Chhattisgarh?
396324,How do you know it’s time to let someone go?
396736,How can I become more motivated to exercise?
397314,How do atheists explain the Shroud of Turin?
397851,"Which type of wire is good for AC and DC current: solid-core, single-strand wire or stranded wire?"
408208,Which other animals have their periods?
417826,What is the answer of below riddle? and why?
419104,Is The Daily Show with Trevor Noah cancelled? It was off the air this past week.
420414,What's the best way to gain a following for a B2B brand on Facebook?
433616,What are the pros and cons of the Industrial Revolution?
433813,How can I increase sales on Amazon?
435642,How many social bookmarking sites posted daily?
436263,How many people die every day?
436805,Why is Quora inhabited almost solely by effete liberal snobs?
438223,What are some different ways to get the percentage of two numbers?
438654,What do you think about Modi's new policy on the ban of Rs 500 and Rs 1000 notes?
438786,Why don't people like obama?
439025,Can famous rock musicians actually read music?
440940,What should I do for my excessive hair loss?
441162,"Which are some of the best ""off the beaten path"" restaurants you've eaten in anywhere in the world?"
443096,What is order of watching Naruto movies and are they filler or are linked to manga?
443283,What Pakistani think about Indians?
444762,Can women play polo?
444936,What are some ways to save my Yahoo emails?
445103,"Why doesn't Rum have the same cachet as Bourbon, Scotch or Whiskey?"
445314,Which are the best websites to download Hindi songs?
445430,What universities does Comfort Systems recruit new grads from? What majors are they looking for?
445590,what is the minimum amount of sleep a 15 year old can get?
448826,Does exchanging USD$ for IRR Rail sound like a smart investment given the current position Iran is in?
449698,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Sohei earthquake in 1361?"
451511,How people make money by answering questions in Qoura?
451675,What are the main differences between IITs and private universities?
452645,How can a young man of 20 years stop masturbation?
453535,What legit online jobs can I work from home?
453822,Why is it so hard for people to have sex and hard as shit for me to even do it?
455244,How do I gain confidence?
455863,What are the expected consequences of Declaring 500 and 1000 rupee notes as illegal?
456194,What are examples of landing pages for consumer web sites that do a clear job communicating a relatively complex value proposition?
456194,What makes you feel alive?
456308,What are the changes made in elliptical trammel from it's beginning to end?
456823,Does laser hair removal hurt?
457603,Why we girls does't stand against what are happening within us in our society?
459160,Why do Indian students want to go to other countries to study?
459694,Do I have a problem if I chew 2 packs of nicotine chewing gums every day?
459801,How do I find money to invest in real estate?
461832,How is IRMA? Will it be beneficial to pursue Post graduate in rural management? Do they provide 100% placement with good salary package?
461918,How can I travel for free in 2017?
463156,How do I hire a recruiter to help me find a job?
466080,Why has the Modi Government banned the 500 and 1000 rupee notes?
466792,"Which blind spots does the Hinduism have or propagate, project, propel and propaganda for/towards the other religions?"
467151,Why people vote congress?
467290,How can I study law?
467575,Will Xiaomi Redmi Note 3 get a marshmallow update in near future?
468518,Does having faith in God help a person?
468578,What do you want in life?
469733,What are some tips to get the best airline ticket prices?
471145,Can I learn martial arts on my own?
472404,Which computer games are similar to Rise of Nations?
472492,What does GHz mean? How does it relate to processor speed?
472957,My dog is not able to stand on his hind legs. What can I do to help?
473577,Why doesn't Michael Shelby cut his hair in the Peaky Blinder's style?
474365,OS X : how can I re-enable the built-in trackpad using keyboard shortcuts only?
474729,"Which WW II German commander took his unit West, from near Berlin, fleeing the Russians, thereby saving his unit from certain death?"
475957,"What is the oddly chemical smell that often permeates Milpitas, Newark, San Jose and Fremont?"
476331,What are some benefits of the GST Bill?
480618,What is Toastmasters? How will it help me if I join?
480695,How did Argentina gain independence?
480881,What are some good songs to sing a capella?
481549,Did Captain Phillips make you cry? Why?
482565,"Why are many women who leave Islam, feminists?"
487032,Is it safe to swim with wild Orca?
487192,Are friends really friends?
487598,How a bill is drafted?
488099,Is private job is secure in India?
488217,Why do some people think Earth is flat?
488860,How can I increse my penis size?
491316,"In practice, is the president or the prime minister the supreme power in Indian democracy?"
491407,Is there any legit trial codes for Xbox live gold w/o a generator?
491658,How do I know if my long distance boyfriend cares about me?
492159,If I have a warrant in one state can I get my license in another?
492756,How do I lose 10 kg in a month?
492808,Are humans the only animal that kills for pleasure?
494739,Why did Nazi Germany invade USSR?
495006,What type of technology makes a 360 camera work? How was it developed?
495011,Can anyone please help me with latest topics for research in terms of branding and marketing?
495634,What is the healing process for a forward helix piercing?
496070,"I'm 18 and have nothing to do with my life, what should I do?"
498640,How can I develop good scientific research questions?
499980,Why don't some women wear underwear?
500642,How can you increase your IQ?
500737,Can you give the translation what is writen in picture if I send you a picture in all things is writen in brahmi language?
502988,How can I recover a hacked Instagram?
503215,How's like to be an international student in McGill university?
503825,Is it safe to surf dark web and deep web?
504136,What is the worst welcome email you have ever received?
504764,IN JNTUH WHICH COURSE IS GOOD CIVIL OR EEE?
506202,What was the universe before Big Bang?
507760,How can I start learning Website development?
507970,A man and a woman produced some brown-eyed children and some blue-eyed children.What are the possible genotypes of the parents?
508384,What is the reason behind saying that Sanskrit is the most suitable language for programming?
509580,Is green tea a fat burner? Does it help with weight loss? how much should I drink? which time to drink ?
510222,What car brand do you prefer?
510690,What's the difference between reference and inspiration?
510912,What is the scope of project management in India?
511040,How is the fresher's party at nift?
511054,"What are ""positive aspects""?"
511419,"Is Xavier Institute of Management and Entrepreneurship, Bangalore a good choice for an MBA?"
511425,What is drone journalism?
511425,What is engine coolant fluid?
513647,Should China and Russia supply arms to the Philippines?
514700,Is gst a retrospective tax?
